pl_name,hostname,st_met,pl_bmassj,pl_bmasse,log_mass,is_giant,planet_type,met_group,pl_orbper,st_teff,st_mass,discoverymethod
TOI-3693 b,TOI-3693,0.071,1.02,324.18497514,0.00860017176191757,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),9.088516,5321.0,0.867,Transit
TOI-3714 b,TOI-3714,0.1,0.7,222.4798849,-0.1549019599857432,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2.154849,3660.0,0.53,Transit
TOI-375 b,TOI-375,0.084,0.745,236.78216321,-0.12784372725170717,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),9.45469,5259.9,1.441,Transit
TOI-375 c,TOI-375,0.084,2.106,669.34662514,0.32345836684946766,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),115.5,5259.9,1.441,Radial Velocity
TOI-375 d,TOI-375,0.084,1.402,445.59542661,0.14674801363063983,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),297.9,5259.9,1.441,Radial Velocity
TOI-3757 b,TOI-3757,0.0,0.26838381,85.3,-0.5712436861175532,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.438753,3913.0,0.64,Transit
TOI-3785 b,TOI-3785,0.099,0.04703796,14.95,-1.3275515215397946,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),4.6747373,3576.0,0.52,Transit
TOI-3807 b,TOI-3807,0.278,1.04,330.54154328,0.01703333929878037,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2.8989727,5772.0,1.181,Transit
TOI-3819 b,TOI-3819,0.273,1.11,352.78953177,0.045322978786657475,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.2443141,5859.0,1.242,Transit
TOI-3837 b,TOI-3837,-0.26,0.59,187.51876013,-0.22914798835785583,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),11.88865,5905.0,0.89,Transit
TOI-3856 b,TOI-3856,0.454,0.54,171.62733978,-0.26760624017703144,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2.04360352,5622.0,1.096,Transit
TOI-3862 b,TOI-3862,0.11,0.1688,53.7,-0.7726275577103637,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1.55745774,5300.0,0.9,Transit
TOI-3877 b,TOI-3877,0.269,0.314,99.7981198,-0.5030703519267851,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),4.123596,5731.0,1.16,Transit
TOI-3884 b,TOI-3884,0.04,0.10253961,32.59,-0.9891083386916996,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.5445828,3180.0,0.298,Transit
TOI-3894 b,TOI-3894,0.021,0.82,260.61929374,-0.08618614761628333,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.33454,6000.0,1.138,Transit
TOI-3912 b,TOI-3912,0.187,0.406,129.03833324,-0.39147396642280585,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.4936264,5725.0,1.088,Transit
TOI-3919 b,TOI-3919,0.175,3.88,1233.17421916,0.5888317255942073,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),7.433234,6100.0,1.208,Transit
TOI-3976 A b,TOI-3976 A,0.182,0.175,55.61997123,-0.7569619513137056,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),6.607662,5975.0,1.254,Transit
TOI-3980 b,TOI-3980,0.188,0.59,187.51876013,-0.22914798835785583,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.6089254,5840.0,1.24,Transit
TOI-3984 A b,TOI-3984 A,0.18,0.14,44.0,-0.8538719643217619,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),4.353326,3476.0,0.49,Transit
TOI-4010 b,TOI-4010,0.37,0.03460987,11.0,-1.4608000319797434,0,Neptunian / Sub-Neptune,Metal-rich ([Fe/H] > +0.15),1.348335,4960.0,0.88,Transit
TOI-4010 c,TOI-4010,0.37,0.06390241,20.31,-1.1944827626559253,0,Neptunian / Sub-Neptune,Metal-rich ([Fe/H] > +0.15),5.414654,4960.0,0.88,Transit
TOI-4010 d,TOI-4010,0.37,0.12003332,38.15,-0.9206981815899218,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),14.70886,4960.0,0.88,Transit
TOI-4010 e,TOI-4010,0.37,2.17727549,692.0,0.33791338366546475,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),762.0,4960.0,0.88,Radial Velocity
TOI-4034 b,TOI-4034,0.12,0.87,276.51071409,-0.060480747381381476,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1.8020932,5891.0,1.19,Transit
TOI-406 c,TOI-406,-0.02,0.00654441,2.08,-2.1841295004186696,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.307441,3392.0,0.408,Transit
TOI-406.01,TOI-406,-0.02,0.02067153,6.57,-1.6846273779461822,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),13.175682,3392.0,0.408,Transit
TOI-4087 b,TOI-4087,0.237,0.73,232.01473711,-0.1366771398795441,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.1774835,6060.0,1.178,Transit
TOI-411 b,HD 22946,-0.08,0.04313648,13.71,-1.3651552968539504,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),4.040295,6169.0,1.098,Transit
TOI-411 c,HD 22946,-0.08,0.03058254,9.72,-1.5145264475641813,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),9.573083,6169.0,1.098,Transit
TOI-4127 b,TOI-4127,0.14,2.34,743.71847238,0.3692158574101428,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),56.3987,6096.0,1.23,Transit
TOI-4137 b,TOI-4137,0.182,1.44,457.67290608,0.15836249209524964,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.8016122,6202.0,1.313,Transit
TOI-4145 A b,TOI-4145 A,0.168,0.43,136.66621501,-0.36653154442041347,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),4.0664428,5281.0,0.905,Transit
