pl_name,hostname,pl_letter,pl_bmasse,pl_bmassj,pl_rade,pl_orbper,st_met,st_teff,st_mass,st_rad,disc_year,discoverymethod
"Kepler-91 b","Kepler-91","b",257.44230000,0.81000000,15.32270300,6.24658000000,0.1100,4550.00,1.310000,6.300000,2013,"Transit"
"Kepler-93 b","Kepler-93","b",4.66000000,0.01466200,1.47800000,4.72673978000,-0.1800,5669.00,0.911000,0.919000,2014,"Transit"
"Kepler-93 c","Kepler-93","c",954.00000000,3.00000000,,1460.00000000000,-0.1800,5669.00,0.910000,0.920000,2014,"Radial Velocity"
"Kepler-94 b","Kepler-94","b",10.84000000,0.03400000,3.51000000,2.50806000000,0.3400,4781.00,0.810000,0.760000,2014,"Transit"
"Kepler-94 c","Kepler-94","c",3126.00000000,9.83600000,,820.30000000000,0.3400,4781.00,0.810000,0.760000,2014,"Radial Velocity"
"Kepler-95 b","Kepler-95","b",13.00000000,0.04100000,3.42000000,11.52310000000,0.3000,5699.00,1.080000,1.410000,2014,"Transit"
"Kepler-96 b","Kepler-96","b",8.46000000,0.02700000,2.67000000,16.23850000000,0.0400,5690.00,1.000000,1.020000,2014,"Transit"
"Kepler-97 b","Kepler-97","b",3.51000000,0.01100000,1.48000000,2.58664000000,-0.2000,5779.00,0.940000,0.980000,2014,"Transit"
"Kepler-97 c","Kepler-97","c",344.00000000,1.08000000,,789.00000000000,-0.2000,5779.00,0.940000,0.980000,2014,"Radial Velocity"
"Kepler-98 b","Kepler-98","b",3.55000000,0.01100000,1.99000000,1.54168000000,0.1800,5539.00,0.990000,1.110000,2014,"Transit"
"Kepler-99 b","Kepler-99","b",6.15000000,0.01900000,1.48000000,4.60358000000,0.1800,4782.00,0.790000,0.730000,2014,"Transit"
"L 168-9 b","L 168-9","b",4.07000000,0.01280565,1.63000000,1.40152604000,-0.0300,3842.00,0.614000,0.604000,2020,"Transit"
"L 98-59 b","L 98-59","b",0.46000000,0.00144732,0.83700000,2.25311400000,-0.4600,3415.00,0.292300,0.315500,2019,"Transit"
"L 98-59 c","L 98-59","c",2.00000000,0.00629270,1.32900000,3.69067640000,-0.4600,3415.00,0.292300,0.315500,2019,"Transit"
"L 98-59 d","L 98-59","d",1.64000000,0.00516002,1.62700000,7.45072900000,-0.4600,3415.00,0.292300,0.315500,2019,"Transit"
"L 98-59 e","L 98-59","e",2.82000000,0.00887271,,12.82780000000,-0.4600,3415.00,0.292300,0.315500,2021,"Radial Velocity"
"L 98-59 f","L 98-59","f",2.80000000,0.00880979,,23.06400000000,-0.4600,3415.00,0.292300,0.315500,2025,"Radial Velocity"
"LHS 1140 b","LHS 1140","b",5.60000000,0.01761957,1.73000000,24.73723000000,-0.1500,3096.00,0.184400,0.215900,2017,"Transit"
"LHS 1140 c","LHS 1140","c",1.91000000,0.00600953,1.27200000,3.77794000000,-0.1500,3096.00,0.184400,0.215900,2018,"Transit"
"LHS 1478 b","LHS 1478","b",2.33000000,0.00733100,1.24200000,1.94953780000,-0.1300,3381.00,0.236000,0.246000,2021,"Transit"
"LHS 1815 b","LHS 1815","b",1.58000000,0.00497124,1.08800000,3.81433400000,-0.1200,3643.00,0.502000,0.501000,2020,"Transit"
"LHS 1903 b","LHS 1903","b",3.28000000,0.01032003,1.38200000,2.15550980000,-0.1100,3664.00,0.538000,0.539000,2026,"Transit"
"LHS 1903 c","LHS 1903","c",4.55000000,0.01431590,2.04600000,6.22618500000,-0.1100,3664.00,0.538000,0.539000,2026,"Transit"
"LHS 1903 d","LHS 1903","d",5.96000000,0.01875226,2.50000000,12.56628700000,-0.1100,3664.00,0.538000,0.539000,2026,"Transit"
"LHS 1903 e","LHS 1903","e",5.79000000,0.01821738,1.73200000,29.31773000000,-0.1100,3664.00,0.538000,0.539000,2026,"Transit"
"LHS 3844 b","LHS 3844","b",2.37000000,0.00745685,1.28600000,0.46292970900,0.2200,3080.00,0.151000,0.189000,2019,"Transit"
"LP 714-47 b","LP 714-47","b",28.38000000,0.08929347,4.25000000,4.05203200000,0.0500,4123.00,0.542000,0.536000,2020,"Transit"
"LP 791-18 c","LP 791-18","c",7.16000000,0.02252788,2.48800000,4.98991000000,-0.0900,2960.00,0.139000,0.182000,2019,"Transit"
"LP 791-18 d","LP 791-18","d",0.91000000,0.00286318,1.03200000,2.75485000000,-0.0900,2960.00,0.139000,0.182000,2023,"Transit"
"LP 890-9 b","LP 890-9","b",13.20000000,0.04153184,1.32000000,2.72990250000,-0.0280,2850.00,0.118000,0.155600,2022,"Transit"
"LP 890-9 c","LP 890-9","c",25.30000000,0.07960270,1.36700000,8.45746300000,-0.0280,2850.00,0.118000,0.155600,2022,"Transit"
"LSPM J2116+0234 b","LSPM J2116+0234","b",13.30000000,0.04184627,,14.43990000000,-0.0500,3475.00,0.430000,0.431000,2019,"Radial Velocity"
"LTT 1445 A c","LTT 1445 A","c",1.54000000,0.00484538,1.14700000,3.12390350000,-0.3400,3340.00,0.257000,0.265000,2022,"Transit"
"LTT 3780 b","LTT 3780","b",2.46000000,0.00774003,1.32500000,0.76837931000,0.0600,3358.00,0.381000,0.380000,2020,"Transit"
"LTT 3780 c","LTT 3780","c",8.04000000,0.02529667,2.39000000,12.25228400000,0.0600,3358.00,0.381000,0.380000,2020,"Transit"
